# No		1
# RA		2,3,4
# Dec		5,6,7
# Num		8
# oRA		9
# oDec		10
# V		11
# V-I		12
# B-V		13
# U-B		14
# e_V		15
# e_V-I		16
# e_B-V		17
# RA		18
# Dec		19

    1  06 08 08.50  +24 27 43.3     1  -10.932    6.137  15.353   1.380   1.191   0.890   0.010   0.014   0.062  092.035416  +24.462018 x 0
    2  06 08 08.56  +24 22 22.7     2  -10.927    0.795  15.592   0.694   0.523   0.198   0.004   0.004   0.004  092.035649  +24.372986 x 0
    3  06 08 08.86  +24 30 34.6     3  -10.845    8.992  15.165   0.501   0.340   0.230   0.031   0.031   0.033  092.036935  +24.509603 x 0
    4  06 08 09.00  +24 15 35.2     4  -10.836   -5.997  15.667   0.687   0.484   0.341   0.008   0.011   0.011  092.037491  +24.259789 x 0 
    5  06 08 09.02  +24 18 21.4     5  -10.828   -3.228  15.868   0.916   0.686   0.183   0.010   0.014   0.010  092.037565  +24.305938 x 0
    6  06 08 09.64  +24 23 54.3     6  -10.679    2.321  15.945   0.705   0.512   0.285   0.016   0.016   0.016  092.040147  +24.398425 x 0
    7  06 08 09.70  +24 26 02.1     7  -10.662    4.450  13.388   0.642   0.499   0.095   0.001   0.002   0.008  092.040404  +24.433908 x 0
    8  06 08 09.94  +24 21 35.9     8  -10.614    0.014  15.074   0.963   0.776   0.188   0.002   0.002   0.003  092.041396  +24.359976 x 0
    9  06 08 09.96  +24 21 06.0     9  -10.609   -0.484  15.587   1.326   1.153   0.760   0.002   0.021   0.003  092.041500  +24.351676 x 0
   10  06 08 09.97  +24 25 12.2    10  -10.602    3.619  15.697   1.042   0.800   0.244   0.002   0.011   0.016  092.041523  +24.420060 x 0
   11  06 08 09.96  +24 25 40.6    11  -10.602    4.092  14.314   0.871   0.662   0.098   0.010   0.014   0.011  092.041511  +24.427943 x 0
   12  06 08 10.00  +24 21 00.1    12  -10.600   -0.583  14.745   1.170   1.017   0.767   0.001   0.007   0.007  092.041667  +24.350027 x 0
   13  06 08 10.07  +24 27 29.1    13  -10.574    5.900  16.973   1.311   1.149   1.006   0.008   0.021   0.008  092.041977  +24.458077 x 0
   14  06 08 10.07  +24 27 50.4    14  -10.574    6.256  16.251   0.933   0.710   0.166   0.009   0.020   0.010  092.041968  +24.464010 x 0
   15  06 08 10.48  +24 24 23.2    15  -10.486    2.802  15.452   0.982   0.838   0.334   0.013   0.014   0.013  092.043667  +24.406446 x 0
   16  06 08 10.52  +24 21 13.8    16  -10.481   -0.354  14.022   0.589   0.439   0.269   0.003   0.021   0.004  092.043838  +24.353846 x 0
   17  06 08 10.57  +24 15 49.3    17  -10.478   -5.763  14.818   0.904   0.750   0.172   0.005   0.009   0.006  092.044030  +24.263697 x 0
   18  06 08 10.51  +24 29 34.7    18  -10.473    7.994  16.492   1.044   0.840   0.273   0.007   0.007   0.033  092.043774  +24.492979 x 0
   19  06 08 10.66  +24 15 28.3    19  -10.458   -6.114  15.658   0.967   0.737   0.094   0.002   0.007   0.008  092.044404  +24.257847 x 0
   20  06 08 10.69  +24 18 47.0    20  -10.446   -2.801  15.451   1.472   1.301   0.854   0.006   0.006   0.009  092.044540  +24.313064 x 0
   21  06 08 10.91  +24 29 04.6    21  -10.381    7.492  16.306   0.898   0.677   0.188   0.007   0.029   0.022  092.045471  +24.484614 x 0
   22  06 08 11.03  +24 15 32.0    22  -10.373   -6.051  12.477   0.457   0.360   0.256   0.007   0.012   0.009  092.045956  +24.258899 x 0
   23  06 08 11.00  +24 26 32.6    23  -10.365    4.959  16.693   1.455   1.292   1.065   0.003   0.028   0.014  092.045828  +24.442398 x 0
   24  06 08 11.00  +24 27 02.2    24  -10.365    5.451  15.597   0.583   0.415   0.322   0.014   0.018   0.014  092.045815  +24.450598 x 0
   25  06 08 11.19  +24 16 50.5    25  -10.335   -4.744  15.945   0.621   0.458   0.358   0.001   0.008   0.016  092.046619  +24.280683 x 0
   26  06 08 11.36  +24 21 21.4    26  -10.289   -0.228  15.640   0.750   0.560   0.266   0.006   0.007   0.015  092.047348  +24.355951 x 0
   27  06 08 11.40  +24 16 37.0    27  -10.286   -4.969  15.462   0.684   0.533   0.263   0.002   0.028   0.008  092.047520  +24.276934 x 0
   28  06 08 11.38  +24 29 53.4    28  -10.273    8.305  15.403   0.943   0.717   0.195   0.008   0.019   0.012  092.047429  +24.498166 x 0
   29  06 08 11.73  +24 26 12.2    29  -10.200    4.618  16.608   1.154   0.954   0.338   0.004   0.005   0.017  092.048857  +24.436719 x 0
   30  06 08 11.88  +24 23 36.4    30  -10.169    2.022  14.350   0.508   0.368   0.279   0.009   0.026   0.009  092.049488  +24.393453 x 0
   31  06 08 11.86  +24 27 06.5    31  -10.169    5.523  15.185   0.941   0.773   0.228   0.006   0.011   0.006  092.049402  +24.451802 x 0
   32  06 08 12.03  +24 20 00.0    32  -10.139   -1.586  12.763   0.499   0.450   0.281   0.003   0.005   0.003  092.050125  +24.333321 x 0
   33  06 08 12.07  +24 21 26.2    33  -10.128   -0.149  15.876   1.057   0.958   0.504   0.016   0.018   0.017  092.050291  +24.357271 x 0
   34  06 08 12.05  +24 29 09.7    34  -10.122    7.577  14.863   0.561   0.377   0.224   0.009   0.032   0.009  092.050212  +24.486037 x 0
   35  06 08 12.09  +24 27 46.2    35  -10.114    6.185  16.666   0.771   0.594   0.175   0.018   0.023   0.018  092.050393  +24.462837 x 0
   36  06 08 12.10  +24 27 54.4    36  -10.112    6.322  16.693   1.317   1.164   1.139   0.013   0.013   0.023  092.050426  +24.465121 x 0
   37  06 08 12.19  +24 29 26.8    37  -10.091    7.861  14.106   0.680   0.530   0.271   0.007   0.029   0.010  092.050773  +24.490771 x 0
   38  06 08 12.24  +24 31 18.3    38  -10.077    9.720  15.751   1.189   1.002   0.615   0.015   0.015   0.016  092.050984  +24.521754 x 0
   39  06 08 12.37  +24 18 27.4    39  -10.063   -3.128  14.886   0.756   0.560   0.376   0.015   0.020   0.016  092.051552  +24.307622 x 0
   40  06 08 12.53  +24 22 48.9    40  -10.021    1.229  16.551   1.080   0.815   0.215   0.003   0.012   0.013  092.052216  +24.380240 x 0
   41  06 08 12.66  +24 15 49.3    41  -10.001   -5.764  16.952   1.324   1.218   1.336   0.014   0.018   0.031  092.052750  +24.263691 x 0
   42  06 08 12.64  +24 19 35.4    42  -10.000   -1.995  16.050   1.081   0.954   0.483   0.004   0.011   0.005  092.052677  +24.326507 x 0
   43  06 08 12.72  +24 14 01.4    43   -9.989   -7.562  15.699   0.786   0.595   0.280   0.005   0.017   0.011  092.053012  +24.233725 x 0
